B9401.KOLLIUTS,B9401.KOLLINR,B9401.SKAPDAT,B9401.SKAPTIM,B9401.FRDPLATS,B9403.ARTNR,B9401.EMBTYP,B9403.ARTANT,B9403.PACKNR
1621,844894,19991221,214752,4-H-17-8-I,9135830,L1,1836,
1621,850273,20010111,130923,3-H-17-8-I,26,L2,0,
1621,852342,20020530,125449,2-V-5-4-I,26,L2,0,
1621,858412,20041217,130202,4-V-1-7-I,26,L4,0,
1621,862063,20060112,131559,5-V-4-13-I,41,L4,0,
1621,862722,20060420,100947,2-H-4-9-I,41,L4,0,
1621,863795,20070208,131759,2-V-7-14-I,41,L5,0,
1621,863796,20070208,131810,6-H-2-14-I,41,L5,0,
1621,863797,20070208,131816,3-H-16-14-I,41,L5,0,
1621,863799,20070208,131827,2-H-13-14-I,41,L5,0,
1621,864167,20070321,141041,1-V-5-14-I,41,L5,0,
1621,866663,20090527,101607,5-V-18-12-I,26,L2,0,
1621,866495,20090911,84138,1-V-6-3-I,41,L4,0,
1621,867441,20100601,124405,2-V-13-8-I,8244628,L3,5,
1621,868568,20110413,124922,3-V-19-7-I,26,L4,0,
1621,868936,20110527,105808,2-H-11-7-I,8244702,K3,190,
1621,8694401,20110705,82221,3-V-33-10-I,8244731,K1,15,
1621,870222,20110909,125346,2-H-22-6-I,26,L3,0,
1621,872840,20120405,110711,5-V-15-8-I,21,L3,0,
1621,873750,20121031,123339,4-H-10-12-I,41,L4,0,
DQA1A,3817078,20130822,73705,1-H-23-9-I,31316094,L3,8640,1984750
1621,875150,20131121,143109,6-H-3-10-I,51,L3,0,
1621,875153,20131121,143139,2-H-16-1-I,51,L2,0,
1621,875306,20140213,105811,2-H-4-6-I,51,L3,0,
1621,879277,20140213,110353,2-V-6-6-I,51,L4,0,
1621,879278,20140213,110404,3-H-1-7-I,51,L4,0,
1621,879279,20140213,105800,6-H-6-7-I,51,L3,0,
1621,879337,20140213,85001,6-H-12-5-I,9465780,L3,24,
1621,879338,20140213,84949,2-H-19-3-I,9465780,L3,23,
1621,879339,20140213,84936,2-H-7-6-I,9465780,L3,24,
1621,879340,20140213,84905,1-V-2-4-I,9465780,L3,9,
1621,879346,20140213,85042,5-V-8-4-I,9465780,L3,24,
1621,881845,20140604,122008,1-V-7-5-I,30725325,L3,18,
1621,881846,20140604,122013,5-V-26-5-I,30725325,L3,18,
1621,881847,20140604,121956,1-H-12-5-I,30725325,L3,18,
1621,881848,20140604,122001,5-H-4-10-I,30725325,L3,18,
1621,881849,20140604,121933,5-H-3-8-I,30725325,L3,18,
1621,881850,20140604,121944,6-H-4-8-I,30725325,L3,18,
1621,881851,20140604,121927,5-H-14-5-I,30725325,L3,18,
1621,881852,20140604,121920,3-H-16-13-I,30725325,L3,12,
1621,881859,20140604,122033,1-V-19-11-I,30725325,L3,18,
1621,881860,20140604,122024,5-H-22-11-I,30725325,L3,18,
1621,881861,20140604,122040,6-H-20-6-I,30725325,L3,18,
1621,879280,20140612,100240,2-H-16-12-I,51,L3,0,
1621,879281,20140619,131355,1-V-1-14-I,51,L5,0,
1621,879283,20140619,105619,2-H-17-1-I,51,L3,0,
1621,882440,20140619,105902,2-V-2-14-I,51,L5,0,
1621,89402,20141215,125121,5-V-23-6-I,1298624,K1,60,
1621,89403,20141215,125149,6-V-27-8-I,1298626,K1,110,
1621,89404,20141215,124934,6-V-30-6-I,1298628,K1,110,
1621,90687,20150105,133736,1-H-26-9-I,1298618,L3,900,
1621,885853,20150126,150335,1-H-13-6-I,31375104,L3,8160,
1621,885856,20150126,150419,2-H-1-3-I,31375891,L4,8120,
1621,885860,20150126,150520,6-H-8-11-I,31375111,L3,8160,
N718E,11688949,20150210,92111,3-V-32-8-I,1298620,K1,900,75200061
1621,95455,20150217,163435,1-H-15-1-I,1298568,K1,200,
1621,95456,20150217,163534,5-V-17-9-I,1298562,K1,200,
1621,95457,20150217,163650,6-H-33-7-I,1298558,K1,200,
1621,95458,20150217,163719,6-V-23-11-I,1298560,K1,200,
1621,95459,20150217,163811,2-V-44-12-I,1298640,K1,200,
1621,95460,20150217,163838,5-V-36-7-I,1298632,K1,150,
1621,95461,20150217,164120,2-H-21-3-I,1298566,K1,200,
1621,95462,20150217,164217,4-H-45-10-Y,1298570,K1,200,
1621,95463,20150217,164246,3-V-4-5-I,1298630,K1,160,
1621,95464,20150217,164410,5-H-10-13-I,1298644,K1,200,
1621,95465,20150217,164439,2-H-10-11-I,1298648,K1,200,
1621,95467,20150217,164528,4-H-4-4-I,1298636,K1,200,
1621,95468,20150217,164753,4-V-27-9-I,1298564,K1,200,
1621,95471,20150217,165855,5-H-20-1-I,1298652,K1,200,
1621,95472,20150217,170409,3-V-33-10-Y,1298650,K1,200,
1621,95473,20150217,165757,6-H-18-7-I,1298646,K1,200,
1621,95474,20150217,170556,4-H-45-10-I,1298642,K1,200,
1621,95475,20150217,165646,3-H-22-7-I,1298638,K1,200,
1621,95476,20150217,165725,2-H-26-2-I,1298634,K1,200,
1621,885839,20150220,95935,6-V-1-4-I,31375111,L2,2240,
1621,879286,20150303,110300,4-V-16-4-I,51,L3,0,
1621,886768,20150303,110233,6-V-40-14-I,51,L5,0,
1621,886771,20150310,92820,6-H-33-14-I,51,L5,0,
1621,886772,20150310,93721,4-H-1-4-I,51,L3,0,
1621,886773,20150310,93521,6-H-34-14-I,51,L5,0,
1621,886774,20150310,122937,4-V-12-4-I,51,L2,0,
1621,886775,20150325,123442,3-H-1-14-I,51,L5,0,
1621,886776,20150330,104336,4-H-1-14-I,51,L5,0,
1621,886960,20150331,81258,4-V-1-4-I,51,L3,0,
1621,886961,20150331,93122,3-H-2-4-I,51,L3,0,
1621,879284,20150407,145212,3-V-7-5-I,51,L3,0,
1621,879285,20150407,145319,5-V-1-9-I,51,L4,0,
N718E,11775484,20150518,140918,2-V-25-8-I,1298574,K1,250,75200204
1621,112129,20150603,103000,5-H-17-10-I,1298572,K1,250,
1621,113151,20150608,135336,3-V-27-4-I,1298570,K1,300,
1621,888327,20150810,152254,6-H-44-14-I,6763907,L5,179,
1621,875302,20150914,95552,3-V-1-14-I,51,L5,0,
1621,875305,20150914,95618,1-V-4-8-I,51,L3,0,
1621,875307,20150914,95524,2-V-1-14-I,51,L5,0,
1621,131359,20150928,74017,2-V-35-4-I,31375841,L1,1440,
1621,131362,20150928,74326,1-V-1-8-I,31375834,L1,960,
1621,890083,20160114,84201,5-H-19-5-I,41,L3,170,
