B9401.KOLLIUTS,B9401.KOLLINR,B9401.SKAPDAT,B9401.SKAPTIM,B9401.FRDPLATS,B9403.ARTNR,B9401.EMBTYP,B9403.ARTANT,B9403.PACKNR,SERIAL NUMBER
,,19991221,214752,4-H-17-8-I,9135830,,1836,,4400001
,,20010111,130923,3-H-17-8-I,26,,0,,4400002
,,20020530,125449,2-V-5-4-I,26,,0,,4400003
,,20041217,130202,4-V-1-7-I,26,,0,,4400004
,,20060112,131559,5-V-4-13-I,41,,0,,4400005
,,20060420,100947,2-H-4-9-I,41,,0,,4400006
,,20070208,131759,2-V-7-14-I,41,,0,,4400007
,,20070208,131810,6-H-2-14-I,41,,0,,4400008
,,20070208,131816,3-H-16-14-I,41,,0,,4400009
,,20070208,131827,2-H-13-14-I,41,,0,,4400010
,,20070321,141041,1-V-5-14-I,41,,0,,4400011
,,20090527,101607,5-V-18-12-I,26,,0,,4400012
,,20090911,84138,1-V-6-3-I,41,,0,,4400013
,,20100601,124405,2-V-13-8-I,8244628,,5,,4400014
,,20110413,124922,3-V-19-7-I,26,,0,,4400015
,,20110527,105808,2-H-11-7-I,8244702,,190,,4400016
,,20110705,82221,3-V-33-10-I,8244731,,15,,4400017
,,20110909,125346,2-H-22-6-I,26,,0,,4400018
,,20120405,110711,5-V-15-8-I,21,,0,,4400019
,,20121031,123339,4-H-10-12-I,41,,0,,4400020
,,20130822,73705,1-H-23-9-I,31316094,,8640,1984750,4400021
,,20131121,143109,6-H-3-10-I,51,,0,,4400022
,,20131121,143139,2-H-16-1-I,51,,0,,4400023
,,20140213,105811,2-H-4-6-I,51,,0,,4400024
,,20140213,110353,2-V-6-6-I,51,,0,,4400025
,,20140213,110404,3-H-1-7-I,51,,0,,4400026
,,20140213,105800,6-H-6-7-I,51,,0,,4400027
,,20140213,85001,6-H-12-5-I,9465780,,24,,4400028
,,20140213,84949,2-H-19-3-I,9465780,,23,,4400029
,,20140213,84936,2-H-7-6-I,9465780,,24,,4400030
,,20140213,84905,1-V-2-4-I,9465780,,9,,4400031
,,20140213,85042,5-V-8-4-I,9465780,,24,,4400032
,,20140604,122008,1-V-7-5-I,30725325,,18,,4400033
,,20140604,122013,5-V-26-5-I,30725325,,18,,4400034
,,20140604,121956,1-H-12-5-I,30725325,,18,,4400035
,,20140604,122001,5-H-4-10-I,30725325,,18,,4400036
,,20140604,121933,5-H-3-8-I,30725325,,18,,4400037
,,20140604,121944,6-H-4-8-I,30725325,,18,,4400038
,,20140604,121927,5-H-14-5-I,30725325,,18,,4400039
,,20140604,121920,3-H-16-13-I,30725325,,12,,4400040
,,20140604,122033,1-V-19-11-I,30725325,,18,,4400041
,,20140604,122024,5-H-22-11-I,30725325,,18,,4400042
,,20140604,122040,6-H-20-6-I,30725325,,18,,4400043
,,20140612,100240,2-H-16-12-I,51,,0,,4400044
,,20140619,131355,1-V-1-14-I,51,,0,,4400045
,,20140619,105619,2-H-17-1-I,51,,0,,4400046
,,20140619,105902,2-V-2-14-I,51,,0,,4400047
,,20141215,125121,5-V-23-6-I,1298624,,60,,4400048
,,20141215,125149,6-V-27-8-I,1298626,,110,,4400049
,,20141215,124934,6-V-30-6-I,1298628,,110,,4400050
,,20150105,133736,1-H-26-9-I,1298618,,900,,4400051
,,20150126,150335,1-H-13-6-I,31375104,,8160,,4400052
,,20150126,150419,2-H-1-3-I,31375891,,8120,,4400053
,,20150126,150520,6-H-8-11-I,31375111,,8160,,4400054
,,20150210,92111,3-V-32-8-I,1298620,,900,75200061,4400055
,,20150217,163435,1-H-15-1-I,1298568,,200,,4400056
,,20150217,163534,5-V-17-9-I,1298562,,200,,4400057
,,20150217,163650,6-H-33-7-I,1298558,,200,,4400058
,,20150217,163719,6-V-23-11-I,1298560,,200,,4400059
,,20150217,163811,2-V-44-12-I,1298640,,200,,4400060
,,20150217,163838,5-V-36-7-I,1298632,,150,,4400061
,,20150217,164120,2-H-21-3-I,1298566,,200,,4400062
,,20150217,164217,4-H-45-10-Y,1298570,,200,,4400063
,,20150217,164246,3-V-4-5-I,1298630,,160,,4400064
,,20150217,164410,5-H-10-13-I,1298644,,200,,4400065
,,20150217,164439,2-H-10-11-I,1298648,,200,,4400066
,,20150217,164528,4-H-4-4-I,1298636,,200,,4400067
,,20150217,164753,4-V-27-9-I,1298564,,200,,4400068
,,20150217,165855,5-H-20-1-I,1298652,,200,,4400069
,,20150217,170409,3-V-33-10-Y,1298650,,200,,4400070
,,20150217,165757,6-H-18-7-I,1298646,,200,,4400071
,,20150217,170556,4-H-45-10-I,1298642,,200,,4400072
,,20150217,165646,3-H-22-7-I,1298638,,200,,4400073
,,20150217,165725,2-H-26-2-I,1298634,,200,,4400074
,,20150220,95935,6-V-1-4-I,31375111,,2240,,4400075
,,20150303,110300,4-V-16-4-I,51,,0,,4400076
,,20150303,110233,6-V-40-14-I,51,,0,,4400077
,,20150310,92820,6-H-33-14-I,51,,0,,4400078
,,20150310,93721,4-H-1-4-I,51,,0,,4400079
,,20150310,93521,6-H-34-14-I,51,,0,,4400080
,,20150310,122937,4-V-12-4-I,51,,0,,4400081
,,20150325,123442,3-H-1-14-I,51,,0,,4400082
,,20150330,104336,4-H-1-14-I,51,,0,,4400083
,,20150331,81258,4-V-1-4-I,51,,0,,4400084
,,20150331,93122,3-H-2-4-I,51,,0,,4400085
,,20150407,145212,3-V-7-5-I,51,,0,,4400086
,,20150407,145319,5-V-1-9-I,51,,0,,4400087
,,20150518,140918,2-V-25-8-I,1298574,,250,75200204,4400088
,,20150603,103000,5-H-17-10-I,1298572,,250,,4400089
,,20150608,135336,3-V-27-4-I,1298570,,300,,4400090
,,20150810,152254,6-H-44-14-I,6763907,,179,,4400091
,,20150914,95552,3-V-1-14-I,51,,0,,4400092
,,20150914,95618,1-V-4-8-I,51,,0,,4400093
,,20150914,95524,2-V-1-14-I,51,,0,,4400094
,,20150928,74017,2-V-35-4-I,31375841,,1440,,4400095
,,20150928,74326,1-V-1-8-I,31375834,,960,,4400096
,,20160114,84201,5-H-19-5-I,41,,170,,4400097
,,20160121,100934,6-H-16-9-I,1298578,,1200,76200018,4400098
,,20160121,100934,2-H-20-8-I,1298578,,600,76200018,4400099
,,20160121,100934,6-H-37-10-I,1298574,,600,76200018,4400100
,,20160121,100938,2-V-37-7-I,1298580,,1200,76200019,4400101
,,20160121,100938,6-H-18-13-I,1298580,,1200,76200019,4400102
,,20160121,100938,4-H-16-5-I,1298580,,600,76200019,4400103
,,20160223,130117,5-H-6-4-I,51,,0,,4400104
,,20160223,110138,6-H-13-1-I,51,,0,,4400105
,,20160310,104917,3-V-20-2-I,1298580,,300,76200068,4400106
,,20160310,104916,3-V-43-12-I,1298576,,600,76200068,4400107
,,20160311,204951,3-V-25-5-I,1298580,,1200,,4400108
,,20160428,103422,2-H-12-6-I,1298582,,835,76200126,4400109
,,20160503,121319,4-V-36-8-I,1298582,,1200,76200131,4400110
,,20160516,93343,4-V-22-3-I,1298582,,2400,76200141,4400111
,,20160609,82503,5-V-1-14-I,51,,0,,4400112
,,20160609,82347,2-H-2-14-I,51,,0,,4400113
,,20160614,94906,1-H-29-4-I,1298622,,1200,76200173,4400114
,,20160615,75345,6-V-2-7-I,51,,0,,4400115
,,20160615,103412,3-V-22-14-I,51,,0,,4400116
,,20160616,95715,6-H-3-5-I,51,,0,,4400117
,,20160617,103302,2-H-4-1-I,51,,0,,4400118
,,20160617,103334,1-H-15-7-I,51,,0,,4400119
,,20160620,95335,3-H-43-4-I,1298622,,510,,4400120
,,20160818,105326,2-V-12-8-I,1298616,,300,76200220,4400121
,,20160825,95303,3-V-5-14-I,51,,0,,4400122
,,20160901,100913,5-H-30-4-I,31375114,,9120,76200272,4400123
,,20161019,73937,3-H-2-14-I,51,,0,,4400124
,,20161024,94905,3-V-32-4-I,1298618,,600,76200285,4400125
,,20161024,94904,5-V-26-3-I,1298576,,300,76200285,4400126
