Material,Qty per HU
9135830,58
8244628,1
8244702,6
8244731,1
31316094,270
9465780,1
30725325,1
1298624,2
1298626,4
1298628,4
1298618,29
31375104,255
31375891,254
31375111,255
1298620,29
1298568,7
1298562,7
1298558,7
1298560,7
1298640,7
1298632,5
1298566,7
1298570,7
1298630,5
1298644,7
1298648,7
1298636,7
1298564,7
1298652,7
1298650,7
1298646,7
1298642,7
1298638,7
1298634,7
1298574,8
1298572,8
6763907,6
31375841,45
31375834,30
1298578,38
1298580,38
1298576,19
1298582,26
1298622,38
1298616,10
31375114,285
31460381,44
1298584,8
1298586,132
31430994,13
8244801,6
8244803,4
31430993,10
32255024,9
1298588,85
31480233,13
30777567,1
31430292,1
32255304,4
31316104,30
31280771,1
32263549,5
32224531,7
30746566,114
31375844,45
31367659,1
31316006,219
32252283,1
509685,2
31439993,35
925096,1
31669137,23
8950005,268
1298614,7
31492319,2
31206526,777
31430992,13
31316040,32
30668639,19
985136,19
509483,8
31679974,18
985860,738
982615,33
31430991,13
987966,86
985373,44
31375113,300
31316101,285
6767802,73
32138786,1
31375831,75
6767804,17
6842273,20
981204,9
31460458,2
509379,15
30671519,3
31359350,1
31430894,5
1298612,132
31480231,13
32137260,28
32290465,6
32137532,1
8631655,250
32240930,1
32240929,2
32140108,21
32140033,458
30624472,38
32240185,1
1298590,29
31480174,35
983750,4
32213501,293
32224534,45
31492740,3
31492741,3
32213554,210
32280517,1
31492326,2
32213551,233
31375602,73
32213521,15
31375833,120
1298608,207
32213533,300
30624533,47
985869,11
30746588,1
31492260,1
30681138,48
986820,15
31109188,6
987736,132
30746686,9
32140157,3
32255303,6
32255302,12
982781,321
30624604,71
1298610,19
31437205,6
32252302,3
32249215,3
31342468,8
32249114,1
32249115,1
31437421,9
31441265,1
31459842,6
982802,47
982794,138
31342677,14
31459841,1
31368824,2
31437477,1
31474846,1
32222584,1
31338395,5
31439783,1
31368529,24
31368531,4
31430979,14
31459808,5
31441176,29
31492241,3
987678,71
982775,89
31441271,4
31441692,1
32213494,8
30640852,1
31316111,28
31492318,2
30725401,3
31368460,2
31430704,1
31679338,118
11994,1875
31401067,32
32213491,15
31375131,110
11996,1875
