Material,Qty per HU
9135830,230
26,0
41,0
8244628,1
8244702,24
8244731,2
21,0
31316094,1080
51,0
9465780,3
30725325,2
1298624,8
1298626,14
1298628,14
1298618,113
31375104,1020
31375891,1015
31375111,1020
1298620,113
1298568,25
1298562,25
1298558,25
1298560,25
1298640,25
1298632,19
1298566,25
1298570,25
1298630,20
1298644,25
1298648,25
1298636,25
1298564,25
1298652,25
1298650,25
1298646,25
1298642,25
1298638,25
1298634,25
1298574,31
1298572,31
6763907,22
31375841,180
31375834,120
1298578,150
1298580,150
1298576,75
1298582,104
1298622,150
1298616,38
31375114,1140
31460381,175
1298584,32
1298586,525
31430994,50
800,0
8244801,21
8244803,14
31430993,39
32255024,36
1298588,338
31480233,50
30777567,1
31430292,1
32255304,16
31316104,120
31280771,2
42,0
32263549,20
32224531,28
30746566,456
31375844,180
31367659,4
31316006,874
32252283,3
509685,6
31439993,137
925096,1
31669137,90
8950005,1070
1298614,25
31492319,6
31206526,3106
31430992,49
31316040,127
30668639,75
985136,75
509483,32
31679974,72
985860,2950
982615,129
31430991,50
987966,344
985373,175
31375113,1200
31316101,1140
6767802,291
32138786,2
31375831,300
6767804,67
6842273,77
981204,33
31460458,5
509379,60
30671519,9
31359350,3
710,0
31430894,17
1298612,525
31480231,50
32137260,109
32290465,23
32137532,1
8631655,1000
32240930,1
32240929,7
32140108,83
32140033,1829
30624472,150
32240185,3
1298590,113
31480174,140
983750,13
32213501,1170
32224534,180
31492740,9
31492741,10
32213554,840
32280517,1
31492326,5
32213551,930
31375602,289
32213521,60
31375833,480
12,0
1298608,825
32213533,1200
30624533,186
985869,41
30746588,4
31492260,2
30681138,192
986820,60
31109188,22
987736,525
30746686,36
32140157,10
32255303,23
32255302,45
982781,1281
30624604,284
1298610,75
31437205,24
32252302,10
32249215,12
31342468,29
32249114,2
32249115,2
31437421,36
31441265,3
31459842,24
982802,188
982794,550
31342677,53
31459841,2
31368824,8
31437477,3
31474846,1
32222584,1
31338395,19
31439783,1
31368529,94
31368531,15
31430979,55
31459808,18
31441176,113
31492241,9
987678,284
982775,353
31441271,13
31441692,2
32213494,30
30640852,4
31316111,110
31492318,8
30725401,10
31368460,5
31430704,3
31679338,471
24,0
11994,7500
32280518,0
31401067,125
32213491,60
3672,0
31375131,440
11996,7500
1298592,263
32213531,30
31339654,520
31459809,60
31316091,240
31375697,3125
32213504,60
3212,0
31375842,480
3223,0
31401195,9
31258024,750
3285,0
986214,3625
32224532,1200
3472,0
31321325,2
31480754,23
3181,0
3782,0
31206569,125
3219,0
3286,0
30640768,388
31316240,831
31670108,19
31316277,950
31401333,5
3686,0
32290415,150
31316093,1185
3743,0
3211,0
32213522,1200
32202336,200
32135228,10
3444,0
31375832,960
31375843,960
32361916,2
31336014,938
32249029,270
31316092,1200
32252284,15
3131,0
780,0
943590,63
32298668,6000
