MANDT,POSTYPE,MATNR,OWNER,OWNER_ROLE,BATCH,CAT,STOCK_DOCCAT,STOCK_DOCNO,STOCK_ITMNO,STOCK_USAGE,ENTITELED,ENTITLED_ROLE,COO,QUAN,UNIT,HUTYP,LGPLA,GR_DATE,GR_TIME,VFDAT,PMAT,EXTNO,HUIDENT,PARHUIDENT,TOPHUIDENT,ROW,REFROW,G_WEIGHT,N_WEIGHT,UNIT_GW,T_WEIGHT,UNIT_TW,G_VOLUME,N_VOLUME,UNIT_GV,T_VOLUME,UNIT_TV,G_CAPA,N_CAPA,T_CAPA,LENGTH,WIDTH,HEIGHT,UNIT_LWH,MAX_WEIGHT,TOLW,TARE_VAR,MAX_VOLUME,TOLV,CLOSED_PACKAGE,MAX_CAPA,MAX_LENGTH,MAX_WIDTH,MAX_HEIGHT,UNIT_MAX_LWH,SERNR,CWQUAN,CWUNIT,CWEXACT,LOGPOS,UII,DUMMY_ISU,ZEUGN,AMOUNT_LC
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,9135830,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,1836,PCE,,HIGH BAY BIN,19991221,214752,19991221,,,00000000000000,,00000000000000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,8244628,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,5,PCE,,HIGH BAY BIN,20100601,124405,20100601,,,00000000000000,,00000000000000,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,8244702,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,190,PCE,,HIGH BAY BIN,20110527,105808,20110527,,,00000000000000,,00000000000000,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,8244731,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,15,PCE,,HIGH BAY BIN,20110705,82221,20110705,,,00000000000000,,00000000000000,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,31316094,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,8640,PCE,,HIGH BAY BIN,20130822,73705,20130822,,,00000000000000,,00000000000000,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
